1,5,Austin,Rain,,1
2,5,Austin,Rain,93,1
3,5,Austin,Light Rain,93,1
4,5,Austin,Light Rain,76,1
5,5,Austin,Rain,93,1
6,5,Austin,Light Rain,97,1
7,5,Austin,Showers,87,1
14,5,Austin,Cloudy,90,1
8,5,Austin,Cloudy,89,1
9,5,Austin,Short term forecastRain,93,1
10,5,Austin,moderate rain,93,1
11,5,Austin,Rain,93,1
12,5,Austin,Rain,93,1
13,5,Austin,Rain Fog/Mist,93,1
1,10,Austin,Rain,,1
2,10,Austin,Rain,93,1
3,10,Austin,Rain,93,1
4,10,Austin,Rain Mist,80,1
5,10,Austin,Rain,95,1
6,10,Austin,Light Rain,97,1
7,10,Austin,Rain,93,1
14,10,Austin,Thunderstorm,92,1
8,10,Austin,Rain,95,1
9,10,Austin,Weather WarningsCloudy,93,1
10,10,Austin,moderate rain,93,1
11,10,Austin,Light Rain,93,1
12,10,Austin,Rain,93,1
13,10,Austin,Rain Fog/Mist,93,1
1,13,Austin,Cloudy,,1
2,13,Austin,Mostly Cloudy,81,1
3,13,Austin,Overcast,76,1
4,13,Austin,Overcast,62,1
5,13,Austin,Cloudy,82,1
6,13,Austin,Overcast,66,1
7,13,Austin,Cloudy,76,1
14,13,Austin,Rain,96,1
8,13,Austin,Cloudy,82,1
9,13,Austin,Short term forecastMostly Cloudy,81,1
10,13,Austin,mostly cloudy,81,1
11,13,Austin,Cloudy,82,1
12,13,Austin,Cloudy,86,1
13,13,Austin,Mostly Cloudy,74,1
1,25,Austin,Cloudy,,1
2,25,Austin,Fog And Mist,87,1
3,25,Austin,Overcast,85,1
4,25,Austin,Overcast,75,1
5,25,Austin,Cloudy,81,1
6,25,Austin,Mist,80,1
7,25,Austin,Cloudy,86,1
14,25,Austin,Cloudy,82,1
8,25,Austin,Cloudy,81,1
9,25,Austin,Fog,86,1
10,25,Austin,mostly cloudy,80,1
11,25,Austin,Cloudy,81,1
12,25,Austin,Cloudy,93,1
1,31,Austin,Cloudy,,1
2,31,Austin,Overcast,87,1
3,31,Austin,Overcast,85,1
4,31,Austin,Overcast,77,1
5,31,Austin,Cloudy,84,1
6,31,Austin,Overcast,86,1
7,31,Austin,Cloudy,89,1
14,31,Austin,Cloudy,85,1
8,31,Austin,Cloudy,84,1
9,31,Austin,Cloudy,86,1
10,31,Austin,mostly cloudy,80,1
11,31,Austin,Cloudy,84,1
12,31,Austin,Cloudy,93,1
1,35,Austin,Cloudy,,1
2,35,Austin,Overcast,81,1
3,35,Austin,Overcast,85,1
4,35,Austin,Overcast,75,1
5,35,Austin,Cloudy,86,1
6,35,Austin,Overcast,88,1
7,35,Austin,Cloudy,81,1
14,35,Austin,Mostly Cloudy,89,1
8,35,Austin,Mostly Cloudy,88,1
9,35,Austin,Cloudy,80,1
10,35,Austin,mostly cloudy,87,1
11,35,Austin,Cloudy,85,1
12,35,Austin,Cloudy,93,1
1,38,Austin,Cloudy,,1
2,38,Austin,Overcast,81,1
3,38,Austin,Overcast,82,1
4,38,Austin,Overcast,75,1
5,38,Austin,Cloudy,85,1
6,38,Austin,Overcast,85,1
7,38,Austin,Cloudy,82,1
14,38,Austin,Cloudy,86,1
8,38,Austin,Cloudy,85,1
9,38,Austin,Short term forecastCloudy,80,1
10,38,Austin,mostly cloudy,87,1
11,38,Austin,Cloudy,85,1
12,38,Austin,Cloudy,86,1
1,39,Austin,Cloudy,,1
2,39,Austin,Overcast,87,1
3,39,Austin,Overcast,86,1
4,39,Austin,Overcast,77,1
5,39,Austin,Cloudy,85,1
6,39,Austin,Overcast,84,1
7,39,Austin,Cloudy,87,1
14,39,Austin,Cloudy,86,1
8,39,Austin,Cloudy,85,1
9,39,Austin,Short term forecastFog,87,1
10,39,Austin,mostly cloudy,87,1
11,39,Austin,Cloudy,85,1
12,39,Austin,Cloudy,86,1
1,43,Austin,Cloudy,,1
2,43,Austin,Fog And Mist,87,1
3,43,Austin,Overcast,89,1
4,43,Austin,Overcast,79,1
5,43,Austin,Showers,93,1
6,43,Austin,Mist,95,1
7,43,Austin,Cloudy,87,1
14,43,Austin,Drizzle,93,1
8,43,Austin,Showers,92,1
9,43,Austin,Short term forecastFog,93,1
10,43,Austin,mostly cloudy,93,1
11,43,Austin,Mist,93,1
12,43,Austin,Cloudy,93,1
1,50,Austin,Cloudy,,1
2,50,Austin,Fog And Mist,81,1
3,50,Austin,Haze,82,1
4,50,Austin,Haze,72,1
5,50,Austin,Fog,88,1
6,50,Austin,Hazy,77,1
7,50,Austin,Cloudy,82,1
14,50,Austin,Cloudy,89,1
8,50,Austin,Fog,81,1
9,50,Austin,Short term forecastHaze,81,1
10,50,Austin,mostly cloudy,81,1
11,50,Austin,Light Fog,88,1
12,50,Austin,Mostly Cloudy,87,1
13,60,Austin,Overcast,85,1
1,91,Austin,Partly Cloudy,,1
2,91,Austin,Overcast,65,1
3,91,Austin,Scattered Clouds,64,1
4,91,Austin,Scattered Clouds,53,1
5,91,Austin,Partly Cloudy,64,1
6,91,Austin,Partly Cloudy,52,1
7,91,Austin,Cloudy,63,1
14,91,Austin,Partly Cloudy,64,1
8,91,Austin,Partly Cloudy,64,1
9,91,Austin,Partly Cloudy,64,1
10,91,Austin,clear sky,64,1
11,91,Austin,Partly Cloudy,64,1
12,91,Austin,Cloudy,69,1
13,91,Austin,Partly Cloudy,64,1
1,104,Austin,Fair,,1
2,104,Austin,Clear,69,1
3,104,Austin,Clear,72,1
4,104,Austin,Clear,47,1
5,104,Austin,Partly Sunny,80,1
6,104,Austin,Clear,63,1
7,104,Austin,Partly Cloudy,65,1
14,104,Austin,Mostly Cloudy,73,1
8,104,Austin,Partly Sunny,80,1
9,104,Austin,Clear,69,1
10,104,Austin,clear sky,80,1
11,104,Austin,Partly Sunny,80,1
12,104,Austin,Cloudy,74,1
13,104,Austin,Fair,72,1
1,112,Austin,Fair,,1
2,112,Austin,Clear,53,1
3,112,Austin,Clear,53,1
4,112,Austin,Clear,47,1
5,112,Austin,Partly Sunny,55,1
6,112,Austin,Clear,41,1
7,112,Austin,Sunny,54,1
14,112,Austin,Partly Cloudy,60,1
8,112,Austin,Partly Sunny,55,1
9,112,Austin,Clear,52,1
10,112,Austin,clear sky,61,1
11,112,Austin,Partly Sunny,55,1
12,112,Austin,Partly Sunny,75,1
13,112,Austin,Fair,53,1
1,130,Austin,Cloudy,,1
2,130,Austin,Overcast,93,1
3,130,Austin,Overcast,85,1
4,130,Austin,Overcast,78,1
5,130,Austin,Cloudy,88,1
6,130,Austin,Overcast,87,1
7,130,Austin,Cloudy,84,1
14,130,Austin,Cloudy,88,1
8,130,Austin,Cloudy,88,1
9,130,Austin,Cloudy,93,1
10,130,Austin,mostly cloudy,86,1
11,130,Austin,Cloudy,88,1
12,130,Austin,Cloudy,86,1
13,130,Austin,Overcast,85,1
1,132,Austin,Cloudy,,1
2,132,Austin,Overcast,86,1
3,132,Austin,Overcast,85,1
4,132,Austin,Overcast,78,1
5,132,Austin,Cloudy,88,1
6,132,Austin,Overcast,89,1
7,132,Austin,Cloudy,82,1
14,132,Austin,Cloudy,88,1
8,132,Austin,Cloudy,88,1
9,132,Austin,Cloudy,86,1
10,132,Austin,mostly cloudy,86,1
11,132,Austin,Cloudy,88,1
12,132,Austin,Cloudy,92,1
13,132,Austin,Overcast,85,1
1,145,Austin,Cloudy,,1
2,145,Austin,Overcast,81,1
3,145,Austin,Haze,82,1
4,145,Austin,Haze,68,1
5,145,Austin,Cloudy,81,1
6,145,Austin,Hazy,70,1
7,145,Austin,Cloudy,80,1
14,145,Austin,Cloudy,85,1
8,145,Austin,Cloudy,81,1
9,145,Austin,Cloudy,80,1
10,145,Austin,mostly cloudy,80,1
11,145,Austin,Cloudy,81,1
12,145,Austin,Cloudy,93,1
13,145,Austin,Overcast with Haze,82,1
1,149,Austin,Light Rain,,1
2,149,Austin,Light Rain,93,1
3,149,Austin,Light Rain,93,1
4,149,Austin,Light Rain Mist,98,1
5,149,Austin,Rain,96,1
6,149,Austin,Light Rain,97,1
7,149,Austin,Showers,93,1
14,149,Austin,Showers,93,1
8,149,Austin,Rain,96,1
9,149,Austin,Short term forecastRain,93,1
10,149,Austin,moderate rain,93,1
11,149,Austin,Rain,96,1
12,149,Austin,Rain,100,1
1,154,Austin,Cloudy,,1
2,154,Austin,Fog And Mist,94,1
3,154,Austin,Overcast,93,1
4,154,Austin,Overcast,98,1
5,154,Austin,Showers,92,1
6,154,Austin,Mist,97,1
7,154,Austin,Cloudy,93,1
14,154,Austin,Drizzle,93,1
8,154,Austin,Showers,92,1
9,154,Austin,Short term forecastFog,93,1
10,154,Austin,mostly cloudy,93,1
11,154,Austin,Mist,92,1
12,154,Austin,Cloudy,93,1
1,156,Austin,Rain,,1
2,156,Austin,Rain,100,1
3,156,Austin,Light Rain,97,1
4,156,Austin,Light Rain Mist,98,1
5,156,Austin,Rain,93,1
6,156,Austin,Light Rain,97,1
7,156,Austin,Rain,100,1
8,156,Austin,Showers,92,1
9,156,Austin,Short term forecastRain,100,1
10,156,Austin,light rain,93,1
11,156,Austin,Rain,93,1
12,156,Austin,Rain,100,1
1,167,Austin,Cloudy,,1
2,167,Austin,Fog And Mist,93,1
3,167,Austin,Light Rain,96,1
4,167,Austin,Light Rain Mist,98,1
5,167,Austin,Fog,100,1
6,167,Austin,Light Rain,97,1
7,167,Austin,Cloudy,95,1
8,167,Austin,Fog,100,1
9,167,Austin,Short term forecastRain,93,1
10,167,Austin,mostly cloudy,100,1
11,167,Austin,Mist,100,1
12,167,Austin,Rain,100,1
13,174,Austin,Fog/Mist,93,1
1,205,Austin,Fog,,1
2,205,Austin,Fog And Mist,93,1
3,205,Austin,Overcast,93,1
4,205,Austin,Overcast,89,1
5,205,Austin,Showers,96,1
6,205,Austin,Mist,97,1
7,205,Austin,Fog,93,1
14,205,Austin,Cloudy,93,1
8,205,Austin,Showers,96,1
9,205,Austin,Short term forecastFog,93,1
10,205,Austin,mostly cloudy,100,1
11,205,Austin,Mist,96,1
12,205,Austin,Light Fog,100,1
1,209,Austin,Fog,,1
2,209,Austin,Fog And Mist,93,1
3,209,Austin,Overcast,93,1
4,209,Austin,Overcast,93,1
5,209,Austin,Rain,100,1
6,209,Austin,Mist,97,1
7,209,Austin,Fog,93,1
14,209,Austin,Drizzle,97,1
8,209,Austin,Showers,96,1
9,209,Austin,Fog,93,1
10,209,Austin,light rain,100,1
11,209,Austin,Rain,100,1
12,209,Austin,Light Fog,100,1
13,251,Austin,Fog/Mist,86,1
13,254,Austin,Fog/Mist,86,1
13,257,Austin,Overcast with Haze,80,1
1,259,Austin,Cloudy,,1
2,259,Austin,Hazy,77,1
3,259,Austin,Haze,80,1
4,259,Austin,Haze,75,1
5,259,Austin,Cloudy,76,1
6,259,Austin,Hazy,78,1
7,259,Austin,Cloudy,81,1
14,259,Austin,Cloudy,77,1
8,259,Austin,Cloudy,76,1
9,259,Austin,Short term forecastHaze,76,1
10,259,Austin,mostly cloudy,77,1
11,259,Austin,Cloudy,76,1
12,259,Austin,Cloudy,87,1
1,273,Austin,Light Rain,,1
2,273,Austin,Light Rain,87,1
3,273,Austin,Light Rain,86,1
4,273,Austin,Light Rain Mist,86,1
5,273,Austin,Rain,89,1
6,273,Austin,Light Rain,93,1
7,273,Austin,Showers,86,1
14,273,Austin,Cloudy,90,1
8,273,Austin,Cloudy,89,1
9,273,Austin,Rain,87,1
10,273,Austin,light rain,87,1
11,273,Austin,Rain,89,1
12,273,Austin,Rain,87,1
1,275,Austin,Rain,,1
2,275,Austin,Rain,93,1
3,275,Austin,Light Rain,93,1
4,275,Austin,Light Rain Mist,96,1
5,275,Austin,Rain,93,1
6,275,Austin,Light Rain,97,1
7,275,Austin,Rain,93,1
14,275,Austin,Rain,89,1
8,275,Austin,Rain,93,1
9,275,Austin,Short term forecastRain,93,1
10,275,Austin,light rain,93,1
11,275,Austin,Rain,93,1
12,275,Austin,Rain,100,1
1,280,Austin,Light Rain,,1
2,280,Austin,Light Rain,100,1
3,280,Austin,Light Rain,97,1
4,280,Austin,Light Rain Mist,98,1
5,280,Austin,Rain,92,1
6,280,Austin,Light Rain,97,1
7,280,Austin,Showers,97,1
14,280,Austin,Showers,96,1
8,280,Austin,Rain,92,1
9,280,Austin,Weather WarningsRain,100,1
10,280,Austin,light rain,93,1
11,280,Austin,Rain,92,1
12,280,Austin,Rain,100,1
13,302,Austin,Overcast,80,1
13,314,Austin,Light Rain Fog/Mist,93,1
13,315,Austin,Light Rain Fog/Mist,90,1
1,324,Baltimore,Fair,,1
2,324,Baltimore,Fair,38,1
3,324,Baltimore,Mostly Cloudy,43,1
4,324,Baltimore,Mostly Cloudy,50,1
5,324,Baltimore,Intermittent Clouds,43,1
6,324,Baltimore,Mostly Cloudy,42,1
7,324,Baltimore,Partly Cloudy,30,1
8,324,Baltimore,Intermittent Clouds,43,1
9,324,Baltimore,Mostly Cloudy,42,1
15,324,Baltimore,Mostly Cloudy,45,1
10,324,Baltimore,normal,38,1
11,324,Baltimore,Some Clouds,43,1
13,324,Baltimore,Mostly Cloudy,41,1
1,342,Baltimore,Clear,,1
2,342,Baltimore,Clear,46,1
3,342,Baltimore,Clear,53,1
4,342,Baltimore,Clear,50,1
5,342,Baltimore,Clear,52,1
6,342,Baltimore,Clear,46,1
7,342,Baltimore,Clear,37,1
8,342,Baltimore,Clear,52,1
9,342,Baltimore,Clear,53,1
15,342,Baltimore,Clear,52,1
10,342,Baltimore,normal,43,1
11,342,Baltimore,Clear,52,1
12,342,Baltimore,Clear,52,1
13,376,Baltimore,Fair,43,1
13,382,Baltimore,A Few Clouds,57,1
13,398,Baltimore,Overcast,40,1
1,407,Baltimore,Partly Cloudy,,1
2,407,Baltimore,Fair,30,1
3,407,Baltimore,Overcast,37,1
4,407,Baltimore,Overcast,47,1
5,407,Baltimore,Cloudy,36,1
6,407,Baltimore,Overcast,36,1
7,407,Baltimore,Cloudy,27,1
8,407,Baltimore,Cloudy,38,1
9,407,Baltimore,Cloudy,36,1
15,407,Baltimore,Cloudy,36,1
10,407,Baltimore,normal,30,1
11,407,Baltimore,Cloudy,36,1
12,407,Baltimore,Cloudy,36,1
13,407,Baltimore,Overcast,34,1
1,408,Baltimore,Partly Cloudy,,1
2,408,Baltimore,Fair,33,1
3,408,Baltimore,Overcast,37,1
4,408,Baltimore,Overcast,45,1
5,408,Baltimore,Cloudy,36,1
6,408,Baltimore,Overcast,36,1
7,408,Baltimore,Cloudy,28,1
8,408,Baltimore,Cloudy,36,1
9,408,Baltimore,Cloudy,36,1
15,408,Baltimore,Mostly Cloudy,40,1
10,408,Baltimore,normal,33,1
11,408,Baltimore,Cloudy,36,1
12,408,Baltimore,Cloudy,36,1
13,408,Baltimore,Mostly Cloudy,35,1
1,428,Baltimore,Snow,,1
2,428,Baltimore,Fair,79,1
3,428,Baltimore,Light Snow,84,1
4,428,Baltimore,Light Snow Mist,84,1
5,428,Baltimore,Snow,83,1
6,428,Baltimore,Snow,79,1
7,428,Baltimore,Snow,76,1
8,428,Baltimore,Snow,79,1
9,428,Baltimore,Weather WarningsSnow,79,1
10,428,Baltimore,normal,79,1
11,428,Baltimore,Snow And Fog,83,1
12,428,Baltimore,Snow/Fog,83,1
13,428,Baltimore,Snow,77,1
1,441,Baltimore,Light Snow,,1
2,441,Baltimore,Fair,63,1
3,441,Baltimore,Light Snow,81,1
4,441,Baltimore,Light Snow,77,1
5,441,Baltimore,Flurries,80,1
6,441,Baltimore,Snow,79,1
7,441,Baltimore,Snow Showers,55,1
8,441,Baltimore,Flurries,79,1
9,441,Baltimore,Weather WarningsSnow,79,1
15,441,Baltimore,Light Snow,80,1
10,441,Baltimore,normal,73,1
11,441,Baltimore,Light Snow,80,1
12,441,Baltimore,Light Snow,80,1
13,441,Baltimore,Light Snow,68,1
1,462,Baltimore,Sunny,,1
2,462,Baltimore,Fair,29,1
3,462,Baltimore,Clear,34,1
4,462,Baltimore,Clear,47,1
5,462,Baltimore,Sunny,33,1
6,462,Baltimore,Clear,33,1
7,462,Baltimore,Sunny,22,1
8,462,Baltimore,Sunny,33,1
9,462,Baltimore,Clear,33,1
15,462,Baltimore,Clear,34,1
10,462,Baltimore,normal,28,1
11,462,Baltimore,Sunny,33,1
12,462,Baltimore,Sunny,33,1
13,462,Baltimore,Fair,34,1
1,467,Baltimore,Sunny,,1
2,467,Baltimore,Fair,34,1
3,467,Baltimore,Clear,38,1
4,467,Baltimore,Clear,47,1
5,467,Baltimore,Sunny,37,1
6,467,Baltimore,Clear,37,1
7,467,Baltimore,Sunny,29,1
8,467,Baltimore,Sunny,36,1
9,467,Baltimore,Clear,37,1
15,467,Baltimore,Clear,37,1
10,467,Baltimore,normal,34,1
11,467,Baltimore,Sunny,37,1
12,467,Baltimore,Sunny,37,1
13,467,Baltimore,Fair,28,1
1,483,Baltimore,Fair,,1
2,483,Baltimore,Fair,51,1
3,483,Baltimore,Clear,59,1
4,483,Baltimore,Clear,65,1
5,483,Baltimore,Clear,61,1
6,483,Baltimore,Clear,64,1
7,483,Baltimore,Clear,53,1
8,483,Baltimore,Clear,61,1
9,483,Baltimore,Winter storm watchClear,59,1
15,483,Baltimore,Clear,60,1
10,483,Baltimore,normal,51,1
11,483,Baltimore,Clear,61,1
12,483,Baltimore,Clear,61,1
13,496,Baltimore,Mostly Cloudy,65,1
13,498,Baltimore,Partly Cloudy,60,1
1,517,Baltimore,Partly Cloudy,,1
2,517,Baltimore,Fair,48,1
3,517,Baltimore,Scattered Clouds,56,1
4,517,Baltimore,Scattered Clouds,55,1
5,517,Baltimore,Mostly Clear,55,1
6,517,Baltimore,Partly Cloudy,54,1
7,517,Baltimore,Partly Cloudy,43,1
8,517,Baltimore,Mostly Clear,55,1
9,517,Baltimore,Partly Cloudy,54,1
15,517,Baltimore,Mostly Cloudy,60,1
10,517,Baltimore,normal,47,1
11,517,Baltimore,Mostly Clear,55,1
12,517,Baltimore,Mostly Clear,55,1
1,528,Baltimore,Fair,,1
2,528,Baltimore,Fair,74,1
3,528,Baltimore,Mostly Cloudy,81,1
4,528,Baltimore,Scattered Clouds,75,1
5,528,Baltimore,Intermittent Clouds,81,1
6,528,Baltimore,Mostly Cloudy,86,1
7,528,Baltimore,Partly Cloudy,69,1
8,528,Baltimore,Intermittent Clouds,81,1
9,528,Baltimore,Mostly Cloudy,86,1
15,528,Baltimore,Mostly Clear,81,1
10,528,Baltimore,normal,74,1
11,528,Baltimore,Some Clouds,81,1
1,535,Baltimore,Cloudy,,1
2,535,Baltimore,Fair,69,1
3,535,Baltimore,Haze,82,1
4,535,Baltimore,Haze,74,1
5,535,Baltimore,Cloudy,81,1
6,535,Baltimore,Overcast,80,1
7,535,Baltimore,Cloudy,66,1
8,535,Baltimore,Cloudy,81,1
9,535,Baltimore,Haze,86,1
15,535,Baltimore,Haze,82,1
10,535,Baltimore,normal,69,1
11,535,Baltimore,Cloudy,81,1
12,535,Baltimore,Cloudy,81,1
13,552,Baltimore,Mostly Cloudy,61,1
13,565,Baltimore,Overcast,75,1
1,600,Baltimore,Partly Cloudy,,1
2,600,Baltimore,Fair,81,1
3,600,Baltimore,Overcast,87,1
4,600,Baltimore,Overcast,88,1
5,600,Baltimore,Cloudy,88,1
6,600,Baltimore,Mist,87,1
7,600,Baltimore,Mostly Cloudy,78,1
8,600,Baltimore,Cloudy,86,1
9,600,Baltimore,Fog,86,1
15,600,Baltimore,Mist,86,1
10,600,Baltimore,normal,80,1
11,600,Baltimore,Cloudy,88,1
12,600,Baltimore,Cloudy,86,1
13,611,Baltimore,Light Snow,79,1
13,625,Baltimore,Fog/Mist,85,1
1,646,Boston,Fair/Windy,,1
2,646,Boston,Clear,44,1
3,646,Boston,Clear,43,1
4,646,Boston,Clear,44,1
5,646,Boston,Clear,42,1
6,646,Boston,Clear,44,1
8,646,Boston,Clear,42,1
15,646,Boston,Clear,42,1
11,646,Boston,Clear,42,1
12,646,Boston,Clear,42,1
1,649,Boston,Fair/Windy,,1
2,649,Boston,Clear,37,1
3,649,Boston,Clear,39,1
4,649,Boston,Clear,34,1
5,649,Boston,Sunny,38,1
6,649,Boston,Clear,37,1
8,649,Boston,Sunny,38,1
15,649,Boston,Clear,38,1
11,649,Boston,Sunny,38,1
12,649,Boston,Sunny,38,1
1,655,Boston,Partly Cloudy,,1
2,655,Boston,Partly Cloudy,27,1
3,655,Boston,Partly Cloudy,26,1
4,655,Boston,Partly Cloudy,27,1
5,655,Boston,Mostly Sunny,26,1
6,655,Boston,Partly Cloudy,27,1
8,655,Boston,Mostly Sunny,26,1
15,655,Boston,Few Clouds,26,1
11,655,Boston,Mostly Sunny,26,1
12,655,Boston,Mostly Sunny,26,1
1,660,Boston,Partly Cloudy,,1
2,660,Boston,Partly Cloudy,31,1
3,660,Boston,Clear,36,1
4,660,Boston,Clear,36,1
5,660,Boston,Clear,35,1
6,660,Boston,Clear,36,1
8,660,Boston,Partly Cloudy,32,1
15,660,Boston,Clear,35,1
11,660,Boston,Clear,35,1
12,660,Boston,Partly Cloudy,32,1
1,669,Boston,Cloudy,,1
2,669,Boston,Overcast,39,1
3,669,Boston,Overcast,41,1
4,669,Boston,Overcast,42,1
5,669,Boston,Cloudy,40,1
6,669,Boston,Overcast,39,1
8,669,Boston,Cloudy,40,1
15,669,Boston,Cloudy,40,1
11,669,Boston,Cloudy,40,1
12,669,Boston,Cloudy,40,1
1,671,Boston,Cloudy,,1
2,671,Boston,Overcast,46,1
3,671,Boston,Overcast,45,1
4,671,Boston,Overcast,46,1
5,671,Boston,Cloudy,44,1
6,671,Boston,Overcast,46,1
8,671,Boston,Cloudy,44,1
15,671,Boston,Cloudy,44,1
11,671,Boston,Cloudy,44,1
12,671,Boston,Cloudy,44,1
1,673,Boston,Mostly Cloudy,,1
2,673,Boston,Mostly Cloudy,46,1
3,673,Boston,Mostly Cloudy,45,1
4,673,Boston,Mostly Cloudy,46,1
5,673,Boston,Intermittent Clouds,44,1
6,673,Boston,Mostly Cloudy,46,1
8,673,Boston,Intermittent Clouds,44,1
15,673,Boston,Mostly Cloudy,44,1
11,673,Boston,Some Clouds,44,1
1,676,Boston,Fair,,1
2,676,Boston,Clear,46,1
3,676,Boston,Clear,48,1
